dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Wind speed at 00 hours Local Time measured in km/h,Quality of wind speed at 00 hours Local Time,Wind speed at 03 hours Local Time measured in km/h,Quality of wind speed at 03 hours Local Time,Wind speed at 06 hours Local Time measured in km/h,Quality of wind speed at 06 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 12 hours Local Time measured in km/h,Quality of wind speed at 12 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind speed at 18 hours Local Time measured in km/h,Quality of wind speed at 18 hours Local Time,Wind speed at 21 hours Local Time measured in km/h,Quality of wind speed at 21 hours Local Time,Wind direction at 00 hours Local Time as 16 compass point text,Quality of wind direction at 00 hours Local Time,Wind direction at 03 hours Local Time as 16 compass point text,Quality of wind direction at 03 hours Local Time,Wind direction at 06 hours Local Time as 16 compass point text,Quality of wind direction at 06 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 12 hours Local Time as 16 compass point text,Quality of wind direction at 12 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,Wind direction at 18 hours Local Time as 16 compass point text,Quality of wind direction at 18 hours Local Time,Wind direction at 21 hours Local Time as 16 compass point text,Quality of wind direction at 21 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-21,      , ,  ,  , 32.0,Y,  ,     , ,  , 22.7,Y,     , ,     , ,     , ,     , ,     , ,     , , 22.3,Y,  9.4,Y,     , ,     , ,     , ,     , ,     , ,     , ,N    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-22,   0.2,N,  , 1, 33.0,Y,  , 22.0,Y,  , 22.3,Y,  5.4,Y,  7.6,Y,  7.6,Y, 14.8,Y,     , , 29.5,Y, 20.5,Y,  5.4,Y,E    ,Y,ESE  ,Y,E    ,Y,NE   ,Y,     , ,N    ,Y,NNE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-23,   0.0,N,  ,  , 32.0,Y,  , 22.0,Y,  , 22.3,Y,  5.4,Y,  7.6,Y,  7.6,Y, 11.2,Y, 27.7,Y, 29.5,Y, 25.9,Y, 11.2,Y,E    ,Y,ESE  ,Y,SE   ,Y,NE   ,Y,N    ,Y,N    ,Y,NNE  ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-24,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 22.8,Y,  9.4,Y,  5.4,Y,  7.6,Y, 11.2,Y, 22.3,Y, 29.5,Y, 18.4,Y,  7.6,Y,E    ,Y,E    ,Y,E    ,Y,NNW  ,Y,N    ,Y,N    ,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-25,   0.0,N,  ,  ,     , ,  , 23.0,Y,  , 22.8,Y,  5.4,Y,  5.4,Y,  7.6,Y, 11.2,Y,     , , 29.5,Y, 18.4,Y,  7.6,Y,E    ,Y,E    ,Y,SE   ,Y,E    ,Y,     , ,N    ,Y,NNE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-26,      , ,  ,  , 34.0,Y,  ,     , ,  , 23.8,Y,  5.4,Y,  7.6,Y,  7.6,Y,     , , 27.7,Y, 29.5,Y, 20.5,Y,  7.6,Y,E    ,Y,E    ,Y,E    ,Y,     , ,N    ,Y,N    ,Y,NNE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-27,   0.0,N,  ,  , 35.0,Y,  , 24.0,Y,  , 23.1,Y,  7.6,Y,  7.6,Y,  7.6,Y, 14.8,Y, 14.8,Y, 25.9,Y, 16.6,Y,  5.4,Y,ENE  ,Y,ENE  ,Y,SE   ,Y,SE   ,Y,ENE  ,Y,NNE  ,Y,NE   ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-28,   0.0,N,  ,  , 35.0,Y,  , 24.0,Y,  , 23.2,Y,  7.6,Y,  9.4,Y,  9.4,Y,  9.4,Y, 20.5,Y, 20.5,Y, 18.4,Y,  7.6,Y,ESE  ,Y,SE   ,Y,SE   ,Y,SSE  ,Y,N    ,Y,NNE  ,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-29,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.5,Y,  7.6,Y,  7.6,Y,  7.6,Y, 14.8,Y, 16.6,Y, 22.3,Y, 16.6,Y,  7.6,Y,E    ,Y,ENE  ,Y,SE   ,Y,NNE  ,Y,N    ,Y,N    ,Y,NNE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-30,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 23.6,Y,  7.6,Y,  7.6,Y,  7.6,Y, 11.2,Y, 20.5,Y, 24.1,Y, 13.0,Y,  5.4,Y,E    ,Y,E    ,Y,E    ,Y,N    ,Y,N    ,Y,N    ,Y,SSE  ,Y,SE   ,Y,#
